logFC	AveExpr	t	P.Value	adj.P.Val	B
TRIB2	0.738027782016036	6.24285564906487	4.41294095452834	2.22084309697295e-05	0.00350864073923506	2.52388777264949
AC128677.4 /// CH17-132F21.1 /// IGKV1OR-1 /// IGKV1OR-1 /// IGKV1OR10-1 /// IGKV1OR10-1 /// IGKV1OR2-2	1.10689113151862	8.65262598030093	4.41272692151801	2.22273584245759e-05	0.00350864073923506	2.52311402249475
ALOX5	0.436934723508926	5.37170126458922	4.40959173267786	2.25063982940315e-05	0.00351011891246462	2.51178305593676
CYCS	-0.431962160734704	7.41754340365354	-4.40927023780349	2.25352022016223e-05	0.00351011891246462	2.51062145552196
SLC15A3	0.419074986739213	5.82781017176156	4.40336835975599	2.30703263733495e-05	0.00356982944934987	2.48930791181219
TIMP1	0.943893929936655	9.78645693638728	4.39393971959401	2.3950709130891e-05	0.00367130710921078	2.45530014081102
APOC1	0.367912144412627	6.44192358256841	4.39301976625369	2.40383203579277e-05	0.00367130710921078	2.45198477048174
IGH /// IGHA1 /// IGHA2 /// IGHG1 /// IGHG2 /// IGHG3 /// IGHM /// IGHV4-31 /// LOC102725526	1.1781366253959	7.82536659813721	4.38770792403738	2.45502586214587e-05	0.00369519156455684	2.43285135528878
RRM2	0.475319443970919	9.05926976865401	4.38669160211562	2.46493978739972e-05	0.00369519156455684	2.42919240856445
CHKA	-0.298746822106539	6.39193796162134	-4.3865214625054	2.46660321273564e-05	0.00369519156455684	2.42857993341853
NCF1	0.65929005129567	5.72851179184567	4.37753869238313	2.5559779147992e-05	0.00380484813646058	2.39626741482202
C1QA	0.727960881303887	6.52200016069294	4.3707514650773	2.6255676114326e-05	0.0038838585044588	2.37188391653341
EAF2	0.239270013735618	3.50687974134629	4.36598675701338	2.67550624799688e-05	0.00392460297765857	2.35478254740738
TIFA	0.413001322122585	4.84345026689615	4.36355414316015	2.70135365910557e-05	0.00392460297765857	2.34605660281136
CTSC	0.403424118462997	7.20404907006789	4.36338400372462	2.70317041828524e-05	0.00392460297765857	2.34544643141076
IGHM	1.02801405963978	7.56531280956046	4.35980148925387	2.7416989578344e-05	0.00395612021400399	2.33260239664291
AIM2	0.872084975283798	5.76869525286129	4.35157757774075	2.83215348925621e-05	0.00406172256507964	2.30314653097768
HCLS1	0.95720329103123	6.85300932575874	4.34316024677635	2.92770650813005e-05	0.00417331254977083	2.27303908212034
LPIN1	0.340985977649715	5.99040585679237	4.34061375167351	2.957220219613e-05	0.00417840379890612	2.26393889821456
LOC100506119	0.295390966155319	4.28258162252318	4.33979169101257	2.96680881980154e-05	0.00417840379890612	2.26100198913309
IL15RA	0.306551426754514	7.22451768340505	4.33770168005435	2.99132181488714e-05	0.004187850540842	2.25353697220184
C2CD4A	0.993153349456952	6.89248846820218	4.32904553647633	3.0949373180735e-05	0.00422754383592938	2.22264676173422
AGT	0.562243901648215	5.54863108967134	4.32832603545417	3.10370359053416e-05	0.00422754383592938	2.22008115167688
LAPTM5	0.854485628640608	8.18405499865092	4.32635744599795	3.12781077860383e-05	0.00422754383592938	2.21306308346256
RBFA	-0.126725795691774	4.88078641395808	-4.32606186250792	3.13144598621252e-05	0.00422754383592938	2.21200951920002
ANXA5	0.526748368103817	9.57592791501181	4.32581902899078	3.1344354932795e-05	0.00422754383592938	2.21114401319691
PTPRC	0.656763857623139	5.43401383464905	4.32450473345361	3.15066339343604e-05	0.00422754383592938	2.20646021302187
PLXNA2	-0.203811793643098	5.57328405571779	-4.32398128625069	3.15714898846771e-05	0.00422754383592938	2.20459507083681
G0S2	1.27737350500685	7.22356963061867	4.32347226346473	3.16346817654579e-05	0.00422754383592938	2.20278148111386
NCR3LG1 /// RP1-239B22.5	-0.441775133360163	5.20466971894073	-4.31407141772929	3.28238402210921e-05	0.00436167639548071	2.16931493599786
STAT3	0.215319542703721	7.73756182940959	4.31123156660782	3.31914420763731e-05	0.00438574560469829	2.15921551072539
TYROBP	0.837648406483403	7.0002191150197	4.30485801945092	3.40309275367895e-05	0.00446118526470393	2.13656655461217
CCL24	0.50950972248002	6.03117267747819	4.30402814736228	3.41417239645709e-05	0.00446118526470393	2.13361930745864
OSBPL8	0.285051589997155	6.5655431516863	4.30055753480858	3.46088559405879e-05	0.0044857694678702	2.12129804627809
DGKD	-0.229231394760509	6.95600098171433	-4.29919318544403	3.47941698813888e-05	0.0044857694678702	2.11645633732337
HCK	0.845436839186482	6.32832394176816	4.29840227148869	3.49020328495003e-05	0.0044857694678702	2.1136501035982
SERPING1	0.871831966896523	5.86894750592203	4.29593097534925	3.52411376903022e-05	0.00450473673084732	2.10488412253092
BACE2	0.541115705203548	8.1739174442306	4.28517597922485	3.67541497903646e-05	0.00467274380037501	2.0667772557763
C17orf62	0.342517669283379	6.77611292113701	4.27141360331371	3.87814763955382e-05	0.00490398024098419	2.01811543985664
RTEL1	0.288877297522413	6.41072471966874	4.26756001440794	3.93681321980168e-05	0.0049515426165634	2.00451000303063
ALOX5AP	0.687949124928113	6.84346769485758	4.25984608148361	4.05681910981064e-05	0.00507533965227374	1.97730202463942
IGHG1 /// IGHG2 /// IGHM /// IGHV4-31 /// MIR8071-1 /// MIR8071-2	1.44653494453868	11.78409264841	4.25359939126875	4.15656645756492e-05	0.00514144059524849	1.9552953620513
TSTA3	0.310469920351348	8.91388879688693	4.25341635046821	4.15952449245829e-05	0.00514144059524849	1.95465087539999
TEX264	-0.18812092417495	6.450711940059	-4.25196932326745	4.18298048480471e-05	0.00514144059524849	1.9495566017315
ADAM28	0.264843571249306	4.29970256670026	4.25110237269657	4.19709436346815e-05	0.00514144059524849	1.94650509676478
KLHL6	0.517621220155056	3.96753226197406	4.24764503675348	4.25383571847756e-05	0.00518394902065245	1.93434041335644
HEXIM1	-0.19900710469662	7.28371964900539	-4.24514864440679	4.2952634293125e-05	0.00520745339471289	1.92556129577287
LINC00152 /// LOC101930489 /// MIR4435-1HG	0.722272101071621	7.20326664523747	4.24136782255645	4.35874487810035e-05	0.00525731689912411	1.91227234403589
