gene_id	colors
GGT1 /// GGT2 /// GGTLC1 /// GGTLC2	brown
SELENBP1	yellow
TMEM45A	blue
MYO1A	brown
HSD11B1	blue
SPARCL1	blue
ADM	green
TMEM71	blue
P2RY14	blue
GDA	brown
SULT1C2	grey
ABCA12	blue
REG3A	brown
CCR7	purple
CYP4F11	brown
ESRRG	brown
SNX10	blue
CCL20	turquoise
STEAP4	blue
CKAP2 /// IGLC1 /// IGLJ2 /// IGLJ2 /// IGLJ3 /// IGLJ3 /// IGLJ3 /// IGLV3-1 /// IGLV3-1 /// IGLV@	salmon
ABCC2	brown
HK2	yellow
SHISA2	yellow
PLA2G4A	brown
TLR1	blue
IGHA1 /// IGHA2 /// IGHD /// IGHG1 /// IGHG3 /// IGHG4 /// IGHM /// IGHV4-31	salmon
TRHDE	brown
DGAT1	brown
CD69	blue
MUC4	yellow
CARD6	brown
GPR84	blue
CKAP2 /// IGLC1 /// IGLJ2 /// IGLJ2 /// IGLJ3 /// IGLJ3 /// IGLJ3 /// IGLV1-44 /// IGLV2-14 /// IGLV@	salmon
FCGR1B	cyan
UGT1A1 /// UGT1A10 /// UGT1A4 /// UGT1A6 /// UGT1A8 /// UGT1A9	brown
MARC2	brown
SAA1 /// SAA2	green
TCL1A	purple
SPRR1B	green
CYP2D6 /// CYP2D7P /// LOC101929829	brown
SELP	blue
NR4A2	green
TFPI	brown
CYP2S1	brown
AC128677.4 /// CH17-132F21.1 /// IGKV1OR-1 /// IGKV1OR-1 /// IGKV1OR10-1 /// IGKV1OR10-1 /// IGKV1OR2-2	salmon
LOC100506098	brown
MIR155 /// MIR155HG	blue
GSTM4	brown
STEAP1	blue
SEMA3G	brown
C16orf54	purple
SERPINB2	blue
TFCP2L1	yellow
SLC6A20	brown
HCK	blue
CPNE8	yellow
CBR1	brown
ABHD14A-ACY1 /// ACY1	brown
KRT6A	blue
GNLY	blue
FPR1	blue
AQP10	brown
CSF3R	blue
SAMD13	yellow
LOC101928102 /// LOC102723678 /// LOC102723709	brown
DUOX2	green
GUSBP3 /// GUSBP9	red
INSC	green
EVI2A	purple
CXCR4	purple
IGHA1 /// IGHA2 /// IGHD /// IGHG1 /// IGHG3 /// IGHM /// IGHV4-31	salmon
CLCA1	magenta
LRRC66	brown
GLDN	yellow
MZB1	salmon
SPP1	blue
WARS	cyan
LIMS3-LOC440895 /// LOC100288570 /// LOC100507334 /// LOC440895	brown
RASSF2	purple
GNE	yellow
IER3	green
IGLL5	salmon
LGALS1	blue
LYZ	grey
CRISP3	brown
P2RY13	blue
CYP4F3	brown
PLA1A	blue
FAM129A	blue
VSNL1	green
FCGR2B	blue
TYROBP	blue
CTGF	green
HCLS1	purple
COL5A1	blue
MIR6787 /// SLC16A3	turquoise
CKAP2 /// IGLC1 /// IGLV3-1 /// IGLV3-1 /// IGLV@	salmon
CMTM2	blue
MSMB	brown
LOXL1	blue
CCL11	blue
IGHM	salmon
SATB2	yellow
VIP	blue
IL33	blue
GPR65	blue
SERPING1	blue
CASP5	yellow
TLR8	blue
MUC17	brown
DAB1	brown
CCL21	blue
CPA3	blue
HSD17B2	brown
TIMP1	blue
PRKACB	yellow
ALDH3A1	grey
ERAP2	turquoise
LOC100507516	green
FOS	turquoise
EPB41L3	brown
CD93	blue
UGT2B17	magenta
CHI3L2	blue
NID2	green
GZMB	cyan
RGS18	blue
TMEM252	black
